,0,1,2
306,1520 Cal Type 61-5-161,,1
307,1481 Cal Type 61-5-80,,1
308,1059 Camera Pole C-1,,120
309,,1250 Camera Pole C-1(Staples Ctr.),2
310,1060 Camera Pole C-2,,168
311,,1414 Camera Pole C-2-2 Arms,2
312,,"595 Capitol 10, Westinghouse",21
313,585 Cast Iron 1-Lite,,32
314,,1305 Cast Iron 1-Lite (Revello),48
315,,1099 Cast Iron 5-Globe Pole,2
316,1260 Cast Iron Alta Loma,,6
317,575 Cast Iron 'B',,15
318,,573 Cast Iron Keystone,18
319,,1171 Cast Iron LA Primavera,18
320,586 Cast Iron Rose,,19
321,,1559 Castellammare Special-A,2
322,801 CD801,,20
323,802 CD802,,1
324,803 CD803,,3829
325,805 CD805,,67
326,807 CD807,,1903
327,1064 CD807B,,187
328,1458 CD807B-2,,11
329,1129 CD807BT,,7
330,1106 CD807C,,22
331,1389 CD807C2,,19
332,1285 CD807CT,,1
333,1124 CD807DT,,4
334,1022 CD807T,,100
335,808 CD808,,150
336,1310 CD808 (Spl),,1
337,1112 CD808A,,268
338,1491 CD808B - Kim CC,,3
339,1192 CD808C,,42
340,1062 CD808X,,1832
341,1441 CD808X - Cobra,,16
342,,1438 CD808X Modified Dual-Lumec,30
343,,1437 CD808X Modified-Lumec,141
344,1004 CD808Y,,157
345,1002 CD808Z,,1525
346,1080 CD812A,,71
347,1147 CD812B,,25
348,1149 CD812D,,10
349,1150 CD812E,,8
350,1081 CD812Y,,52
351,1151 CD812Z,,2
352,813 CD813,,5534
353,814 CD814,,29
354,1604 CD814B,,3
355,1013 CD814C,,399
356,1329 CD814C-Lumec Lum,,4
357,1061 CD814D,,1361
358,1392 CD814D(old),,8
359,1645 CD814D2,,1
360,1321 CD814D-Lumec Lum,,64
361,1023 CD814DT,,131
362,1000 CD814E,,8340
363,1036 CD814E2,,116
364,1316 CD814E-King Lum,,93
365,1323 CD814E-Lumec Lum,,14
366,1461 CD814E-Modified,,3
367,1024 CD814ET,,290
368,851 CD851,,4862
369,1001 CD851A,,39127
370,1579 CD851A2,,15
371,1371 CD851A2-90,,4
372,1003 CD851B,,9908
373,1454 CD851B-2,,5
374,1360 CD851-Cobra,,20
375,1516 CD851-Gardco Lum,,18
376,852 CD852,,3
377,1094 CD852A,,39
378,1093 CD852B,,149
379,1075 CD852C,,1140
380,853 CD853,,9
381,1038 CD853A,,147
382,1514 CD853AT,,1
383,1039 CD853B,,10
384,1040 CD853C,,14
385,855 CD855,,9678
386,1009 CD855A,,968
387,1575 CD855B,,3
388,1383 CD855C,,5
389,856 CD856,,1109
390,1119 CD856A,,82
391,1120 CD856B,,71
392,1121 CD856C,,22
393,857 CD857,,153
394,1391 CD857-2,,1
395,1052 CD857D,,9
396,1053 CD857E,,2
397,1054 CD857F,,2
398,858 CD858,,164
399,1649 CD858A,,62
400,1629 CD858B,,127
401,1650 CD858C,,64
402,859 CD859,,347
403,1116 CD860A,,60
404,1117 CD860B,,99
405,861 CD861,,4
406,901 CD901,,64
407,903 CD903,,16
408,910 CD910,,121
409,911 CD911,,304
410,912 CD912,,13
411,913 CD913,,108
412,1102 CD923B,,246
413,,1271 CD923B-Santiago Arm,32
414,1103 CD923C,,1
415,925 CD925,,22
416,1029 CD925A,,51
417,927 CD927,,16
418,1201 CD927-2C-3,,5
419,1204 CD927B,,11
420,1202 CD927C-3,,4
421,1456 CD927-Lumec,,17
422,928 CD928,,1
423,929 CD929,,202
424,1268 CD929 (State),,2
425,1028 CD929A,,594
426,1047 CD929A7,,15
427,1010 CD929B,,1359
428,1063 CD929B2,,13
429,1037 CD929B7,,226
430,1008 CD929C,,2209
431,,1617 CD929C (ModifiedOH),4
432,1194 CD929C2,,25
433,1041 CD929C-7,,301
